,name,image,acreage,price,region,tags,scrape_date
0,Rangyai Island,https://www.privateislandsonline.com/uploads/resize/_597_image_fe02c338d8.jpg-1074-822.jpg,110,"160,000,000.00","Thailand, Asia","Islands with Beaches,Large Acreage,Ocean Island,Income Potential",2022-06-26
1,Blackbook Listing(2943),,170 - 190, Price Upon Request,"Seychelles, Africa","Islands with Beaches,Large Acreage,Ocean Island",2022-06-26
2,Blackbook Listing(2867),,100 - 200, Price Upon Request,"Spain, Europe","Large Acreage,Ocean Island,Turn Key,Income Potential",2022-06-26
3,Pumpkin Key,https://www.privateislandsonline.com/uploads/resize/_1682_60f97f2079fda.jpg-1074-822.jpg,26,"95,000,000.00","Florida, United States","Large Acreage,Ocean Island,Turn Key,Income Potential",2022-06-26
4,Spectabilis Island,https://www.privateislandsonline.com/uploads/resize/_1747_image_691ba69c7d.jpg-1074-822.jpg,460, Sold,"The Exumas, Bahamas, Caribbean","Islands with Beaches,Large Acreage,Ocean Island,Income Potential",2022-06-26
5,Ifuru Resort with Airport and Funadhoo Island,https://www.privateislandsonline.com/uploads/resize/_2793_5ebb001ab79fb.jpg-1074-822.jpg,169, Price Upon Request,"Maldives, Asia","Islands with Beaches,Airstrip or Fly-in,Large Acreage,Ocean Island,Turn Key,Income Potential",2022-06-26
6,Cave Cay,https://www.privateislandsonline.com/uploads/resize/_909_6026d75621ccf.jpg-1074-822.jpg,220,  Under Contract,"The Exumas, Bahamas, Caribbean","Islands with Beaches,Large Acreage,Ocean Island,Turn Key,Income Potential",2022-06-26
7,Windermere,https://www.privateislandsonline.com/uploads/resize/_2548_5c3f78488f72b.jpg-1074-822.jpg,, Price Upon Request,"Eleuthera, Bahamas, Caribbean","Islands with Beaches,Airstrip or Fly-in,Large Acreage,Income Producing,Ocean Island,Turn Key,Historic,Income Potential",2022-06-26
8,Serenity Beaches Resort,https://www.privateislandsonline.com/uploads/resize/_2020_587fc33606fc4.jpg-1074-822.jpg,8, Price Upon Request,"Tonga, South Pacific","Islands with Beaches,Income Producing,Ocean Island,Turn Key",2022-06-26
9,Amillarah Private Islands,https://www.privateislandsonline.com/uploads/resize/_1941_image_d64f51e345.jpg-1074-822.jpg,, Price Upon Request,"Maldives, Asia","Islands with Beaches,Ocean Island,Turn Key,Income Potential",2022-06-26
10,Lovango Cay,https://www.privateislandsonline.com/uploads/resize/_1815_image_20b7123f37.jpg-1074-822.jpg,5, Price Upon Request,"US Virgin Islands, Caribbean","Islands with Beaches,Ocean Island,Turn Key,Income Potential",2022-06-26
11,Jost Van Dyke,https://www.privateislandsonline.com/uploads/resize/_1712_image_18edc564d6.jpg-1074-822.jpg,, Price Upon Request,"British Virgin Islands, Caribbean","Islands with Beaches,Ocean Island,Income Potential",2022-06-26
12,Steele Point,https://www.privateislandsonline.com/uploads/resize/_1708_5867be070eb08.jpg-1074-822.jpg,8, Price Upon Request,"British Virgin Islands, Caribbean","Ocean Island,Turn Key,Income Potential",2022-06-26
13,Ginger Island,https://www.privateislandsonline.com/uploads/resize/_1644_image_5135650d93.jpg-1074-822.jpg,258, Under Contract,"British Virgin Islands, Caribbean","Islands with Beaches,Large Acreage,Ocean Island,Income Potential",2022-06-26
14,Blunder Bay Estates,https://www.privateislandsonline.com/uploads/resize/_1566_image_50a10dc865.jpg-1074-822.jpg,1, Price Upon Request,"British Virgin Islands, Caribbean","Islands with Beaches,Ocean Island,Turn Key,Income Potential",2022-06-26
15,Waldron Island,https://www.privateislandsonline.com/uploads/resize/_1549_image_fe5584ad7b.jpg-1074-822.jpg,50, Price Upon Request,"Washington, United States","Islands with Beaches,Airstrip or Fly-in,Large Acreage,Lake Island,Turn Key,Income Potential",2022-06-26
16,Mounu Island Resort,https://www.privateislandsonline.com/uploads/resize/_1454_587fc4291df23.jpg-1074-822.jpg,7, Price Upon Request,"Tonga, South Pacific","Islands with Beaches,Income Producing,Ocean Island",2022-06-26
17,Pelican Island,https://www.privateislandsonline.com/uploads/resize/_1432_image_f98974dcac.jpg-1074-822.jpg,32, Sold,"Antigua, Caribbean","Islands with Beaches,Ocean Island,Income Potential",2022-06-26
18,The Ocean Flower,https://www.privateislandsonline.com/uploads/resize/_1409_image_4988120d79.jpg-1074-822.jpg,, Off the Market,"Maldives, Asia","Ocean Island,Turn Key,Income Potential",2022-06-26
19,Barefoot Cay Resort,https://www.privateislandsonline.com/uploads/resize/_1396_image_00e78f4261.jpg-1074-822.jpg,8, Off the Market,"Honduras, Central America","Income Producing,Ocean Island",2022-06-26
20,Gopher Key Florida,https://www.privateislandsonline.com/uploads/resize/_1327_image_1b87f46b91.jpg-1074-822.jpg,10, Price Upon Request,"Florida, United States",Ocean Island,2022-06-26
21,Isla Rancheria,https://www.privateislandsonline.com/uploads/resize/_430_image_e76aa795b3.jpg-1074-822.jpg,310, Price Upon Request,"Panama, Central America","Islands with Beaches,Airstrip or Fly-in,Large Acreage,Ocean Island",2022-06-26
22,The World Islands - Dubai,https://www.privateislandsonline.com/uploads/resize/_329_image_c7bcda7c32.jpg-1074-822.jpg,, Price Upon Request,"United Arab Emirates, Asia","Islands with Beaches,Ocean Island,Income Potential,Mainland Power",2022-06-26
23,Blackbook Listing(2521),,300 - 400, Price Upon Request,"SVG, Caribbean","Islands with Beaches,Large Acreage,Ocean Island",2022-06-26
24,Royal Island,https://www.privateislandsonline.com/uploads/resize/_2885_60427f473db9a.jpg-1074-822.jpg,430,"45,000,000.00","Eleuthera, Bahamas, Caribbean","Islands with Beaches,Large Acreage,Ocean Island,Turn Key,Income Potential",2022-06-26
25,Blackbook Listing(2106),,300 - 500, Price Upon Request,"Turks and Caicos, Caribbean","Islands with Beaches,Large Acreage,Ocean Island,Income Potential",2022-06-26
26,Motu Tane,https://www.privateislandsonline.com/uploads/resize/_2741_5e344d0a34ca2.jpg-1074-822.jpg,10,"39,000,000.00","French Polynesia, South Pacific","Islands with Beaches,Ocean Island,Turn Key,Income Potential",2022-06-26
27,Darby Island,https://www.privateislandsonline.com/uploads/resize/_1424_image_821fa25a3f.jpg-1074-822.jpg,554,"39,000,000.00","The Exumas, Bahamas, Caribbean","Islands with Beaches,Airstrip or Fly-in,Large Acreage,Ocean Island,Turn Key,Historic,Income Potential",2022-06-26
28,Webber Island,https://www.privateislandsonline.com/uploads/resize/_1880_image_6f4e7d6c95.jpg-1074-822.jpg,50, Price Upon Request,"Ontario, Canada","Lake Island,Seasonal,Mainland Power",2022-06-26
29,Mowat Island,https://www.privateislandsonline.com/uploads/resize/_1705_586bad672429a.jpg-1074-822.jpg,11, Sold,"Georgian Bay, Ontario, Canada","Lake Island,Seasonal,Turn Key,Historic",2022-06-26
30,Barne's Island,https://www.privateislandsonline.com/uploads/resize/_1636_image_444aa4a4f6.jpg-1074-822.jpg,4, Sold,"Eastern Ontario, Ontario, Canada","Lake Island,Seasonal,Turn Key,Income Potential",2022-06-26
31,Charlebois Island,https://www.privateislandsonline.com/uploads/resize/_1572_image_0e7f85971e.jpg-1074-822.jpg,36, Price Upon Request,"Ontario, Canada",,2022-06-26
